Unnamed: 0,text_bersih,preprocessing_result,polarity,subjectivity,sentimen,cluster
2,Luar biasa ,-1.6353975707118686,0.0,0.0,netral,1
"Makasih""",,-1.6353975707118686,0.0,0.0,netral,1
Kalo kasusnya mau dipasang di sebuah perusahaan dimana yg siapin data 2 orang atau bisa dari database sendiri lalu dashboard bisa dilihat banyak user atau public itu belinya 1 user ajah atau masing2 user yg mau lihat dashboard beli juga,,-1.6353975707118686,0.0,0.0,netral,1
"78,""Hallo Mas saya bingung untuk price power BIitu per user dan per bulana kan yah",,-1.6353975707118686,0.0,0.0,netral,1
0,Это видео мне подняло  настроение0,-1.6005218541714943,0.0,0.0,netral,1
1,ЭТО ТАК ПРИКОЛЬНО МОНТАЖ СУПЕР УДАЧИ ТЕБК В РОЗВИТИЙ Я В ТЕБЯ ВЕРЮ,-1.56564613763112,0.0,0.0,netral,1
98,Yang saya punya masih A5 hanya 25 user Bagaimana cara mengubah ke A1 agar free untuk semua user,-1.5307704210907456,0.4,0.8,positif,1
86,Buat belajar bro,-1.4958947045503712,0.0,0.0,netral,1
24,Siap belajar bu terima kasih Udah mampir ke channel rolla ,-1.4610189880099969,0.0,0.0,netral,1
99,yg mempelajari ini saat darurat covid19 mana jempolnyaaaaa,-1.4261432714696225,0.0,0.0,netral,1
29,kok diakhir seperti terputus ya,-1.3912675549292481,0.0,0.0,netral,1
94,dapat diakses langsung secara online ke portalofficecom,-1.3563918383888738,0.0,0.0,netral,1
7,Alhamdulillah bisa mengikuti materi bagus ini,-1.3215161218484994,0.0,0.0,netral,1
69,Bang bisa minta datasetnya buat praktek atau bisa didapat dari mana ya,-1.286640405308125,0.0,0.0,netral,1
77,bang kalo ada  kolom excel   data sales vs target jadi persentase bgmn buat grafik   nya di power bi ,-1.2517646887677507,0.0,0.0,netral,1
9,Bang kami sering meeting MT tetapi kadang tiba2 termute dan ketendang sendiri dari meeting itu kendalanya apa ya,-1.2168889722273764,0.0,0.0,netral,1
10,Bang siapa yang bisa mute unmute di ms team Apakah hanya host yang bisa melakukan,-1.182013255687002,0.0,0.0,netral,1
71,bang apakah wilayah nya bisa per kabupatenkota,-1.1471375391466276,0.0,0.0,netral,1
19,Aku Bangga Dengan Minecraft ,-1.1122618226062533,0.0,0.0,netral,1
